コード,銘柄名,ticker
3135,マーケットエンタープライズ,3135.T
3137,ファンデリー,3137.T
3138,富士山マガジンサービス,3138.T
3139,ラクト・ジャパン,3139.T
3140,ＢＲＵＮＯ,3140.T
3141,ウエルシアホールディングス,3141.T
3143,オーウイル,3143.T
3148,クリエイトＳＤホールディングス,3148.T
3150,グリムス,3150.T
3151,バイタルケーエスケー・ホールディングス,3151.T
3153,八洲電機,3153.T
3154,メディアスホールディングス,3154.T
3156,レスター,3156.T
3157,ジオリーブグループ,3157.T
3159,丸善ＣＨＩホールディングス,3159.T
3160,大光,3160.T
3161,アゼアス,3161.T
3166,ＯＣＨＩホールディングス,3166.T
3167,ＴＯＫＡＩホールディングス,3167.T
3168,ＭＥＲＦ,3168.T
3169,ミサワ,3169.T
3172,ティーライフ,3172.T
3173,Ｃｏｍｉｎｉｘ,3173.T
3174,ハピネス・アンド・ディ,3174.T
3175,エー・ピーホールディングス,3175.T
3176,三洋貿易,3176.T
3177,ありがとうサービス,3177.T
3178,チムニー,3178.T
3179,シュッピン,3179.T
3180,ビューティガレージ,3180.T
3181,買取王国,3181.T
3182,オイシックス・ラ・大地,3182.T
3183,ウイン・パートナーズ,3183.T
3184,ＩＣＤＡホールディングス,3184.T
3185,夢展望,3185.T
3186,ネクステージ,3186.T
3187,ミラタップ,3187.T
3189,ＡＮＡＰホールディングス,3189.T
3190,ホットマン,3190.T
3191,ジョイフル本田,3191.T
3192,白鳩,3192.T
3193,エターナルホスピタリティグループ,3193.T
3195,ジェネレーションパス,3195.T
3196,ホットランドホールディングス,3196.T
3197,すかいらーくホールディングス,3197.T
3198,ＳＦＰホールディングス,3198.T
3199,綿半ホールディングス,3199.T
319A,技術承継機構,319A.T
3201,日本毛織,3201.T
3202,ダイトウボウ,3202.T
3204,トーア紡コーポレーション,3204.T
3205,ダイドーリミテッド,3205.T
3221,ヨシックスホールディングス,3221.T
3222,ユナイテッド・スーパーマーケット・ホールディングス,3222.T
3223,エスエルディー,3223.T
3224,ゼネラル・オイスター,3224.T
3231,野村不動産ホールディングス,3231.T
3232,三重交通グループホールディングス,3232.T
3236,プロパスト,3236.T
3237,イントランス,3237.T
3238,セントラル総合開発,3238.T
323A,フライヤー,323A.T
3241,ウィル,3241.T
3242,アーバネットコーポレーション,3242.T
3245,ディア・ライフ,3245.T
3246,コーセーアールイー,3246.T
3248,アールエイジ,3248.T
324A,ブッキングリゾート,324A.T
3252,地主,3252.T
325A,ＴＥＮＴＩＡＬ,325A.T
3261,グランディーズ,3261.T
3266,ファンドクリエーショングループ,3266.T
3267,フィル・カンパニー,3267.T
3271,ＴＨＥグローバル社,3271.T
3276,ＪＰＭＣ,3276.T
3277,サンセイランディック,3277.T
3280,エストラスト,3280.T
3284,フージャースホールディングス,3284.T
3286,トラストホールディングス,3286.T
3288,オープンハウスグループ,3288.T
3289,東急不動産ホールディングス,3289.T
3291,飯田グループホールディングス,3291.T
3293,アズマハウス,3293.T
3294,イーグランド,3294.T
3297,東武住販,3297.T
3299,ムゲンエステート,3299.T
3300,アンビション　ＤＸ　ホールディングス,3300.T
3302,帝国繊維,3302.T
3306,日本製麻,3306.T
330A,ＴａｌｅｎｔＸ,330A.T
3315,日本コークス工業,3315.T
3317,フライングガーデン,3317.T
3319,ゴルフダイジェスト・オンライン,3319.T
331A,メディックス,331A.T
3320,クロスプラス,3320.T
3321,ミタチ産業,3321.T
3323,レカム,3323.T
3326,ランシステム,3326.T
3328,ＢＥＥＮＯＳ,3328.T
3329,東和フードサービス,3329.T
332A,ミーク,332A.T
3333,あさひ,3333.T
3341,日本調剤,3341.T
3347,トラスト,3347.T
3349,コスモス薬品,3349.T
334A,ビジュアル・プロセッシング・ジャパン,334A.T
3350,メタプラネット,3350.T
3352,バッファロー,3352.T
3353,メディカル一光グループ,3353.T
3355,クリヤマホールディングス,3355.T
3358,ワイエスフード,3358.T
3359,ｃｏｔｔａ,3359.T
335A,ミライロ,335A.T
3360,シップヘルスケアホールディングス,3360.T
3361,トーエル,3361.T
336A,ダイナミックマッププラットフォーム,336A.T
3370,フジタコーポレーション,3370.T
3371,ソフトクリエイトホールディングス,3371.T
3372,関門海,3372.T
3374,内外テック,3374.T
3375,ＺＯＡ,3375.T
3377,バイク王＆カンパニー,3377.T
3382,セブン＆アイ・ホールディングス,3382.T
3386,コスモ・バイオ,3386.T
3387,クリエイト・レストランツ・ホールディングス,3387.T
3388,明治電機工業,3388.T
338A,ＺｅｎｍｕＴｅｃｈ,338A.T
3391,ツルハホールディングス,3391.T
3392,デリカフーズホールディングス,3392.T
3393,スターティアホールディングス,3393.T
3395,サンマルクホールディングス,3395.T
3396,フェリシモ,3396.T
3397,トリドールホールディングス,3397.T
3399,丸千代山岡家,3399.T
339A,プログレス・テクノロジーズ　グループ,339A.T
3401,帝人,3401.T
3402,東レ,3402.T
3405,クラレ,3405.T
3407,旭化成,3407.T
3409,北日本紡績,3409.T
340A,ジグザグ,340A.T
3415,ＴＯＫＹＯ　ＢＡＳＥ,3415.T
3416,ピクスタ,3416.T
3417,大木ヘルスケアホールディングス,3417.T
3418,バルニバービ,3418.T
341A,トヨコー,341A.T
3420,ケー・エフ・シー,3420.T
3421,稲葉製作所,3421.T
3422,Ｊ－ＭＡＸ,3422.T
3423,エスイー,3423.T
